State,INTEGER,CHAR,BOOLEAN,STRING,TYPE,EQUALS,ARRAY,LEFT_SQUARE,RIGHT_SQUARE,OF,STRUCT,LEFT_BRACES,RIGHT_BRACES,SEMI_COLON,COLON,FUNCTION,LEFT_PARENTHESIS,RIGHT_PARENTHESIS,COMMA,VAR,IF,ELSE,WHILE,DO,BREAK,CONTINUE,RETURN,AND,OR,LESS_THAN,GREATER_THAN,LESS_OR_EQUAL,GREATER_OR_EQUAL,EQUAL_EQUAL,NOT_EQUAL,PLUS,MINUS,TIMES,DIVIDE,PLUS_PLUS,MINUS_MINUS,NOT,DOT,TRUE,FALSE,CHARACTER,STRINGVAL,NUMERAL,ID,$,P,LDE,DE,T,DT,DC,DF,LP,B,LDV,LS,DV,LI,S,E,L,R,Y,F,LE,LV,TRU,FALS,CH,ST,NU,IDT,IDU,IDD,NB,NF,MA,ME,MC,MF,MT,MW
132, , , , , , , , ,r60, , , , ,r60, , , ,r60,r60, , , , , , , , ,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
133, , , , , , , , ,r61, , , , ,r61, , , ,r61,r61, , , , , , , , ,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
134, , , , , , , , , , , , , ,s154, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
135, , , , , , , , , , , ,r87,r87, , , , , , , ,r87,r87,r87,r87,r87,r87,r87, , , , , , , , , , , , , , , , , , , , , ,r87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,155, 
136, , , , , , , , , , , , , , , , , ,s156, , , , , , , , , ,s114,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
137, , , , , , , , , , , , , , , , ,s157, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
138, , , , , , , , , , , , , ,s158, , , , , , , , , , , , , ,s114,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
139, , , , , ,r71, ,r71,r71, , ,r71,r71,r71, , , ,r71,r71, ,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71, ,r71, , , , , ,r71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140, , , , , , , , ,r37, , , , ,r37, , , ,r37,r37, , , , , , , , ,r37,r37,s116,s117,s118,s119,s120,s121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
141, , , , , , , , ,r38, , , , ,r38, , , ,r38,r38, , , , , , , , ,r38,r38,s116,s117,s118,s119,s120,s121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
142, , , , , , , , ,r40, , , , ,r40, , , ,r40,r40, , , , , , , , ,r40,r40,r40,r40,r40,r40,r40,r40,s122,s123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
143, , , , , , , , ,r41, , , , ,r41, , , ,r41,r41, , , , , , , , ,r41,r41,r41,r41,r41,r41,r41,r41,s122,s123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
144, , , , , , , , ,r42, , , , ,r42, , , ,r42,r42, , , , , , , , ,r42,r42,r42,r42,r42,r42,r42,r42,s122,s123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
145, , , , , , , , ,r43, , , , ,r43, , , ,r43,r43, , , , , , , , ,r43,r43,r43,r43,r43,r43,r43,r43,s122,s123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
146, , , , , , , , ,r44, , , , ,r44, , , ,r44,r44, , , , , , , , ,r44,r44,r44,r44,r44,r44,r44,r44,s122,s123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
147, , , , , , , , ,r45, , , , ,r45, , , ,r45,r45, , , , , , , , ,r45,r45,r45,r45,r45,r45,r45,r45,s122,s123, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
148, , , , , , , , ,r47, , , , ,r47, , , ,r47,r47, , , , , , , , ,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,s124,s125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
149, , , , , , , , ,r48, , , , ,r48, , , ,r48,r48, , , , , , , , ,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,s124,s125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
150, , , , , , , , ,r50, , , , ,r50, , , ,r50,r50, , , , , , , , ,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
151, , , , , , , , ,r51, , , , ,r51, , , ,r51,r51, , , , , , , , ,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
152, , , , , , , , ,r58, , , , ,r58, , , ,r58,r58, , , , , , , , ,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
153, , , , , , , , , , , , , , , , ,s92,r69,r69, , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , ,160,85,86,87,88,159,89,96,97,98,99,100, ,93, , , , , , , , , 
154, , , , ,r25, , , , , , ,r25,r25, , ,r25, , , ,r25,r25,r25,r25,r25,r25,r25,r25, , , , , , , , , , , , , , , , , , , , , ,r25,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
155, , , , , , , , , , , ,r81, , , , , , , , ,s63, ,s64,s65,s68,s69,s70, , , , , , , , , , , , , , , , , , , , , ,s22, , , , , , , , , , , , , , ,161, , , , , , ,67, , , , , , ,71, ,66, , , , , , , 
156, , , , , , , , , , , ,r87,r87, , , , , , , ,r87,r87,r87,r87,r87,r87,r87, , , , , , , , , , , , , , , , , , , , , ,r87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,162, 
157, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , ,163,85,86,87,88, ,89,96,97,98,99,100, ,93, , , , , , , , , 
158, , , , , , , , , , , ,r33,r33, , , , , , , ,r33,r33,r33,r33,r33,r33,r33, , , , , , , , , , , , , , , , , , , , , ,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
159, , , , , , , , , , , , , , , , , ,s164,s165, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
160, , , , , , , , , , , , , , , , , ,r68,r68, , , , , , , , ,s114,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
161, , , , , , , , , , , ,r28,r28, , , , , , , ,r28,s166 / r28,r28,r28,r28,r28,r28, , , , , , , , , , , , , , , , , , , , , ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
162, , , , , , , , , , , ,r81, , , , , , , , ,s63, ,s64,s65,s68,s69,s70, , , , , , , , , , , , , , , , , , , , , ,s22, , , , , , , , , , , , , , ,167, , , , , , ,67, , , , , , ,71, ,66, , , , , , , 
163, , , , , , , , , , , , , , , , , ,s168, , , , , , , , , ,s114,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
164, , , , , , , , ,r59, , , , ,r59, , , ,r59,r59, , , , , , , , ,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
165, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , ,169,85,86,87,88, ,89,96,97,98,99,100, ,93, , , , , , , , , 
166, , , , , , , , , , , ,r84,r84, , , , , , , ,r84,r84,r84,r84,r84,r84,r84, , , , , , , , , , , , , , , , , , , , , ,r84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,170, , , , 
167, , , , , , , , , , , ,r30,r30, , , , , , , ,r30,r30,r30,r30,r30,r30,r30, , , , , , , , , , , , , , , , , , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
168, , , , , , , , , , , , , ,s171, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
169, , , , , , , , , , , , , , , , , ,r67,r67, , , , , , , , ,s114,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
170, , , , , , , , , , , ,r81, , , , , , , , ,s63, ,s64,s65,s68,s69,s70, , , , , , , , , , , , , , , , , , , , , ,s22, , , , , , , , , , , , , , ,172, , , , , , ,67, , , , , , ,71, ,66, , , , , , , 
171, , , , , , , , , , , ,r31,r31, , , , , , , ,r31,r31,r31,r31,r31,r31,r31, , , , , , , , , , , , , , , , , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
172, , , , , , , , , , , ,r29,r29, , , , , , , ,r29,r29,r29,r29,r29,r29,r29, , , , , , , , , , , , , , , , , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
